Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,ID
Mike Woodson,1981,1991,G-F,6’5,195,"March 24, 1958",Indiana,"Mike WoodsonMarch 24, 1958"
Mikki Moore,1999,2012,C-F,6’11,225,"November 4, 1975",Nebraska,"Mikki MooreNovember 4, 1975"
Mile Ili?,2007,2007,C,7’1,230,June 2 1984,,Mile Ili?June 2 1984
Miles Bridges,2019,2022,G-F,6’6,225,"March 21, 1998",Michigan State,"Miles BridgesMarch 21, 1998"
Miles McBride,2022,2022,G,6’2,200,"September 8, 2000",West Virginia,"Miles McBrideSeptember 8, 2000"
Miles Plumlee,2013,2019,C-F,6’11,249,"September 1, 1988",Duke,"Miles PlumleeSeptember 1, 1988"
Miles Simon,1999,1999,G,6’3,202,"November 21, 1975",Arizona,"Miles SimonNovember 21, 1975"
Milo Komenich,1950,1950,F-C,6’7,212,June 22 1920,Wyoming,Milo KomenichJune 22 1920
Miloš Babi?,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,"Miloš Babi?November 23, 1968"
Miloš Teodosi?,2018,2019,G,6’5,196,"March 19, 1987",,"Miloš Teodosi?March 19, 1987"
Milt Palacio,2000,2006,G,6’3,195,"February 7, 1978",Midland College Colorado State,"Milt PalacioFebruary 7, 1978"
Milt Schoon,1947,1950,C,6’7,230,"February 25, 1922",Valparaiso,"Milt SchoonFebruary 25, 1922"
Milt Wagner,1988,1991,G,6’5,185,"February 20, 1963",Louisville,"Milt WagnerFebruary 20, 1963"
Milt Williams,1971,1975,G,6’2,182,"November 22, 1945",Lincoln University of Missouri,"Milt WilliamsNovember 22, 1945"
Milton Doyle,2018,2018,G,6’4,185,"October 31, 1993",Loyola Chicago,"Milton DoyleOctober 31, 1993"
Mindaugas Kuzminskas,2017,2018,F,6’9,215,"October 19, 1989",,"Mindaugas KuzminskasOctober 19, 1989"
Miroslav Raduljica,2014,2015,C,7-0,250,"January 5, 1988",,"Miroslav RaduljicaJanuary 5, 1988"
Mirsad Türkcan,2000,2000,F,6’9,236,June 7 1976,,Mirsad TürkcanJune 7 1976
Mirza Teletovi?,2013,2018,F,6’9,242,September 18 1985,,Mirza Teletovi?September 18 1985
Mitch Creek,2019,2019,G,6’5,216,"April 27, 1992",,"Mitch CreekApril 27, 1992"
Mitch Kupchak,1977,1986,F-C,6’9,230,"May 24, 1954",UNC,"Mitch KupchakMay 24, 1954"
Mitch McGary,2015,2016,F-C,6’10,255,June 6 1992,Michigan,Mitch McGaryJune 6 1992
Mitch Richmond,1989,2002,G,6’5,215,June 30 1965,Kansas State,Mitch Richmond*June 30 1965
Mitchell Butler,1994,2004,G-F,6’5,210,"December 15, 1970",UCLA,"Mitchell ButlerDecember 15, 1970"
Mitchell Robinson,2019,2022,C,7-0,240,"April 1, 1998",Western Kentucky,"Mitchell RobinsonApril 1, 1998"
Mitchell Wiggins,1984,1992,G,6’4,185,"September 28, 1959",Clemson Florida State,"Mitchell WigginsSeptember 28, 1959"
Miye Oni,2020,2022,G,6’5,206,"August 4, 1997",Yale,"Miye OniAugust 4, 1997"
Mo Bamba,2019,2022,C,7-0,231,"May 12, 1998",Texas,"Mo BambaMay 12, 1998"
Mo Howard,1977,1977,G,6’2,170,"August 25, 1954",Maryland,"Mo HowardAugust 25, 1954"
Mo Layton,1972,1978,G,6’1,180,"December 24, 1948",USC,"Mo LaytonDecember 24, 1948"
Mo Mahoney,1953,1954,F,6’2,205,"November 20, 1927",Brown University,"Mo MahoneyNovember 20, 1927"
Mo Williams,2004,2016,G,6’1,198,"December 19, 1982",Alabama,"Mo WilliamsDecember 19, 1982"
Moe Barr,1971,1971,G,6’4,195,June 19 1944,Duquesne,Moe BarrJune 19 1944
Moe Becker,1947,1947,G-F,6’1,185,"February 24, 1917",Duquesne,"Moe BeckerFebruary 24, 1917"
Moe Radovich,1953,1953,G,6’0,160,"May 5, 1929",Wyoming,"Moe RadovichMay 5, 1929"
Monk Meineke,1953,1958,F-C,6’7,208,"October 30, 1930",Dayton,"Monk MeinekeOctober 30, 1930"
Monta Ellis,2006,2017,G,6’3,185,"October 26, 1985",,"Monta EllisOctober 26, 1985"
Monte Morris,2018,2022,G,6’2,183,June 27 1995,Iowa State,Monte MorrisJune 27 1995
Monte Towe,1976,1977,G,5’7,150,"September 27, 1953",NC State,"Monte ToweSeptember 27, 1953"
Monti Davis,1981,1981,F,6’7,205,July 26 1958,Tennessee State,Monti DavisJuly 26 1958
Montrezl Harrell,2016,2022,F-C,6’7,240,"January 26, 1994",Louisville,"Montrezl HarrellJanuary 26, 1994"
Monty Williams,1995,2003,F,6’8,225,"October 8, 1971",Notre Dame,"Monty WilliamsOctober 8, 1971"
Moochie Norris,1997,2006,G,6’1,175,July 27 1973,Auburn University of West Florida,Moochie NorrisJuly 27 1973
Mookie Blaylock,1990,2002,G,6’0,180,"March 20, 1967",Midland College Oklahoma,"Mookie BlaylockMarch 20, 1967"
Moritz Wagner,2019,2022,F-C,6’11,245,"April 26, 1997",Michigan,"Moritz WagnerApril 26, 1997"
Morlon Wiley,1989,1995,G,6’4,185,"September 24, 1966",Cal State Long Beach,"Morlon WileySeptember 24, 1966"
Morris Almond,2008,2012,G,6’6,225,"February 2, 1985",Rice University,"Morris AlmondFebruary 2, 1985"
Morris Peterson,2001,2011,F,6’7,218,"August 26, 1977",Michigan State,"Morris PetersonAugust 26, 1977"
Moses Brown,2020,2022,C,7’2,245,"October 13, 1999",UCLA,"Moses BrownOctober 13, 1999"
Moses Malone,1975,1995,C-F,6’10,215,"March 23, 1955",,"Moses Malone*March 23, 1955"
Moses Moody,2022,2022,G,6’6,205,"May 31, 2002",Arkansas,"Moses MoodyMay 31, 2002"
Moses Wright,2022,2022,F,6’9,233,"December 23, 1998",Georgia Tech,"Moses WrightDecember 23, 1998"
Mouhamed Sene,2007,2009,C-F,6’11,230,"May 12, 1986",,"Mouhamed SeneMay 12, 1986"
Muggsy Bogues,1988,2001,G,5’3,136,"January 9, 1965",Wake Forest,"Muggsy BoguesJanuary 9, 1965"
Murray Mitchell,1950,1950,C,6’6,,"March 19, 1923",Sam Houston State University,"Murray MitchellMarch 19, 1923"
Murray Wier,1950,1950,G,5’9,155,"December 12, 1926",Iowa,"Murray WierDecember 12, 1926"
Mustafa Shakur,2011,2014,G,6’3,190,"August 18, 1984",Arizona,"Mustafa ShakurAugust 18, 1984"
Mychal Mulder,2020,2022,G-F,6’3,184,June 12 1994,Vincennes University Kentucky,Mychal MulderJune 12 1994
Mychal Thompson,1979,1991,C-F,6’10,226,"January 30, 1955",Minnesota,"Mychal ThompsonJanuary 30, 1955"
Mychel Thompson,2012,2012,G,6’6,211,June 1 1988,Pepperdine,Mychel ThompsonJune 1 1988
Myke Henry,2018,2018,F,6’6,210,"December 23, 1992",DePaul,"Myke HenryDecember 23, 1992"
Myles Patrick,1981,1981,F,6’8,220,"November 19, 1954",Auburn,"Myles PatrickNovember 19, 1954"
Myles Powell,2022,2022,G,6’2,195,July 7 1997,Seton Hall,Myles PowellJuly 7 1997
Myles Turner,2016,2022,C-F,6’11,250,"March 24, 1996",Texas,"Myles TurnerMarch 24, 1996"
Myron Brown,1992,1992,G,6’3,180,"November 3, 1969",Slippery Rock University of Pennsylvania,"Myron BrownNovember 3, 1969"
Myron Jackson,1987,1987,G,6’3,185,"May 6, 1964",Little Rock,"Myron JacksonMay 6, 1964"
Naji Marshall,2021,2022,F,6’7,220,"January 24, 1998",Xavier,"Naji MarshallJanuary 24, 1998"
Nando De Colo,2013,2014,G,6’5,200,June 23 1987,,Nando De ColoJune 23 1987
Nassir Little,2020,2022,F,6’5,220,"February 11, 2000",UNC,"Nassir LittleFebruary 11, 2000"
Nat Clifton,1951,1958,C-F,6’6,220,"October 13, 1922",Xavier University of Louisiana,"Nat Clifton*October 13, 1922"
Nat Hickey,1948,1948,G-F,5’11,180,"January 30, 1902",,"Nat HickeyJanuary 30, 1902"
Nat Militzok,1947,1947,F,6’3,195,"May 3, 1923",Cornell,"Nat MilitzokMay 3, 1923"
Nate Blackwell,1988,1988,G,6’4,170,"February 15, 1965",Temple,"Nate BlackwellFebruary 15, 1965"
Nate Bowman,1967,1972,C,6’10,230,"March 19, 1943",Wichita State,"Nate BowmanMarch 19, 1943"
Nate Darling,2021,2021,G,6’6,200,"August 30, 1998",UAB University of Delaware,"Nate DarlingAugust 30, 1998"
Nate DeLong,1952,1952,C,6’6,220,"January 5, 1926",Wisconsin-River Falls,"Nate DeLongJanuary 5, 1926"
Nate Driggers,1997,1997,G,6’5,215,"October 12, 1973",University of Montevallo,"Nate DriggersOctober 12, 1973"
Nate Hawthorne,1974,1976,G,6’4,190,"January 15, 1950",Southern Illinois,"Nate HawthorneJanuary 15, 1950"
Nate Hinton,2021,2022,G,6’5,210,June 8 1999,Houston,Nate HintonJune 8 1999
Nate Huffman,2003,2003,C,7’1,245,"April 2, 1975",Central Michigan University,"Nate HuffmanApril 2, 1975"
Nate Johnston,1990,1990,F,6’8,210,"December 18, 1966",University of Tampa,"Nate JohnstonDecember 18, 1966"
Nate McMillan,1987,1998,G-F,6’5,195,"August 3, 1964",NC State,"Nate McMillanAugust 3, 1964"
Nate Robinson,2006,2016,G,5’9,180,"May 31, 1984",Washington,"Nate RobinsonMay 31, 1984"
Nate Thurmond,1964,1977,C-F,6’11,225,July 25 1941,Bowling Green,Nate Thurmond*July 25 1941
Nate Williams,1972,1979,F-G,6’5,215,"May 2, 1950",Utah State University,"Nate WilliamsMay 2, 1950"
Nate Wolters,2014,2018,G,6’4,190,"May 15, 1991",South Dakota State,"Nate WoltersMay 15, 1991"
Nathan Jawai,2009,2010,C-F,6’10,280,"October 10, 1986",Midland College,"Nathan JawaiOctober 10, 1986"
Nathan Knight,2021,2022,F-C,6’10,253,September 20 1997,William & Mary,Nathan KnightSeptember 20 1997
Nathaniel Barnett,1976,1976,G,6’3,175,"January 29, 1953",University of Akron,"Nathaniel BarnettJanuary 29, 1953"
Naz Mitrou-Long,2018,2020,G,6’3,218,"August 3, 1993",Iowa State,"Naz Mitrou-LongAugust 3, 1993"
Naz Reid,2020,2022,F,6’9,264,"August 26, 1999",LSU,"Naz ReidAugust 26, 1999"
Nazr Mohammed,1999,2016,C,6’10,221,"September 5, 1977",Kentucky,"Nazr MohammedSeptember 5, 1977"
Ndudi Ebi,2004,2005,F,6’9,200,June 18 1984,,Ndudi EbiJune 18 1984
Neal Walk,1970,1977,C,6’10,220,July 29 1948,Florida,Neal WalkJuly 29 1948
Ned Endress,1947,1947,F-G,6’2,200,"March 2, 1918",University of Akron,"Ned EndressMarch 2, 1918"
Neemias Queta,2022,2022,C,7-0,245,July 13 1999,Utah State University,Neemias QuetaJuly 13 1999
Negele Knight,1991,1999,G,6’1,175,"March 6, 1967",Dayton,"Negele KnightMarch 6, 1967"
Neil Johnson,1967,1973,F-C,6’7,220,"April 17, 1943",Creighton,"Neil JohnsonApril 17, 1943"
Neil Johnston,1952,1959,C,6’8,210,"February 4, 1929",Ohio State,"Neil Johnston*February 4, 1929"
Nelson Bobb,1950,1953,G,6’0,170,"February 25, 1924",Temple,"Nelson BobbFebruary 25, 1924"
Nemanja Bjelica,2016,2022,F,6’10,234,"May 9, 1988",,"Nemanja BjelicaMay 9, 1988"
Nemanja Nedovi?,2014,2014,G,6’3,192,June 16 1991,,Nemanja Nedovi?June 16 1991
Nenad Krsti?,2005,2011,C,7-0,240,July 25 1983,,Nenad Krsti?July 25 1983
Nenê,2003,2019,F-C,6’11,250,September 13 1982,,NenêSeptember 13 1982
Nerlens Noel,2015,2022,C-F,6’11,220,"April 10, 1994",Kentucky,"Nerlens NoelApril 10, 1994"
Nic Claxton,2020,2022,F,6’11,215,"April 17, 1999",Georgia,"Nic ClaxtonApril 17, 1999"
Nick Anderson,1990,2002,F-G,6’6,205,"January 20, 1968",Illinois,"Nick AndersonJanuary 20, 1968"
Nick Calathes,2014,2015,G,6’6,213,"February 7, 1989",Florida,"Nick CalathesFebruary 7, 1989"
Nick Collison,2005,2018,F,6’10,255,"October 26, 1980",Kansas,"Nick CollisonOctober 26, 1980"
Nick Johnson,2015,2015,G,6’3,202,"December 22, 1992",Arizona,"Nick JohnsonDecember 22, 1992"
Nick Jones,1968,1973,G,6’2,190,"March 28, 1945",Oregon,"Nick JonesMarch 28, 1945"
Nick Mantis,1960,1963,G,6’3,190,"December 7, 1935",Northwestern,"Nick MantisDecember 7, 1935"
Nick Richards,2021,2022,F-C,7-0,245,"November 29, 1997",Kentucky,"Nick RichardsNovember 29, 1997"
Nick Shaback,1947,1947,G,5’11,180,September 10 1918,,Nick ShabackSeptember 10 1918
Nick Van Exel,1994,2006,G,6’1,170,"November 27, 1971",Trinity Valley CC Cincinnati,"Nick Van ExelNovember 27, 1971"
Nick Vanos,1986,1987,C,7’1,255,"April 13, 1963",Santa Clara,"Nick VanosApril 13, 1963"
Nick Weatherspoon,1974,1980,F,6’7,195,July 20 1950,Illinois,Nick WeatherspoonJuly 20 1950
Nick Young,2008,2019,G-F,6’7,210,June 1 1985,USC,Nick YoungJune 1 1985
Nickeil Alexander-Walker,2020,2022,G,6’6,205,"September 2, 1998",Virginia Tech,"Nickeil Alexander-WalkerSeptember 2, 1998"
Nico Mannion,2021,2021,G,6’2,190,"March 14, 2001",Arizona,"Nico MannionMarch 14, 2001"
Nicolas Batum,2009,2022,F-G,6’8,230,"December 14, 1988",,"Nicolas BatumDecember 14, 1988"
Nicolás Brussino,2017,2018,G-F,6’7,195,"March 2, 1993",,"Nicolás BrussinoMarch 2, 1993"
Nicolás Laprovíttola,2017,2017,G,6’4,180,"January 31, 1990",,"Nicolás LaprovíttolaJanuary 31, 1990"
Nicolò Melli,2020,2021,F,6’9,236,"January 26, 1991",,"Nicolò MelliJanuary 26, 1991"
Nigel Hayes,2018,2018,F,6’8,254,"December 16, 1994",Wisconsin,"Nigel HayesDecember 16, 1994"
Nigel Williams-Goss,2020,2020,G,6’2,190,September 16 1994,Gonzaga Washington,Nigel Williams-GossSeptember 16 1994
Nik Stauskas,2015,2022,G,6’6,205,"October 7, 1993",Michigan,"Nik StauskasOctober 7, 1993"
Nikita Wilson,1988,1988,F,6’8,200,"February 25, 1964",LSU,"Nikita WilsonFebruary 25, 1964"
Nikola Joki?,2016,2022,C-F,6’11,284,"February 19, 1995",,"Nikola Joki?February 19, 1995"
Nikola Miroti?,2015,2019,F,6’10,250,"February 11, 1991",,"Nikola Miroti?February 11, 1991"
Nikola Pekovi?,2011,2016,C,6’11,307,"January 3, 1986",,"Nikola Pekovi?January 3, 1986"
Nikola Vu?evi?,2012,2022,C,6’10,260,"October 24, 1990",USC,"Nikola Vu?evi?October 24, 1990"
Nikoloz Tskitishvili,2003,2006,F,7-0,225,"April 14, 1983",,"Nikoloz TskitishviliApril 14, 1983"
Noah Vonleh,2015,2021,F,6’10,257,"August 24, 1995",Indiana,"Noah VonlehAugust 24, 1995"
Noble Jorgensen,1947,1953,C,6’9,228,"May 18, 1925",Iowa,"Noble JorgensenMay 18, 1925"
Nolan Smith,2012,2013,G,6’2,185,July 25 1988,Duke,Nolan SmithJuly 25 1988
Norm Baker,1947,1947,G,6’0,180,"February 17, 1923",,"Norm BakerFebruary 17, 1923"
Norm Cook,1977,1978,F,6’8,210,"March 21, 1955",Kansas,"Norm CookMarch 21, 1955"
Norm Grekin,1954,1954,F,6’5,180,June 22 1930,La Salle,Norm GrekinJune 22 1930
Norm Mager,1951,1951,F,6’5,185,"March 23, 1926",City College of New York,"Norm MagerMarch 23, 1926"
Norm Nixon,1978,1989,G,6’2,170,"October 11, 1955",Duquesne,"Norm NixonOctober 11, 1955"
Norm Richardson,2002,2002,G,6’5,190,July 24 1979,Hofstra,Norm RichardsonJuly 24 1979
Norm Stewart,1957,1957,F,6’5,205,"January 20, 1935",Missouri,"Norm StewartJanuary 20, 1935"
Norm Swanson,1954,1954,F,6’6,210,"October 4, 1930",Detroit Mercy,"Norm SwansonOctober 4, 1930"
Norm Van Lier,1970,1979,G,6’1,173,"April 1, 1947",Saint Francis University,"Norm Van LierApril 1, 1947"
Norman Black,1981,1981,G,6’5,185,"November 12, 1957",Saint Joseph's,"Norman BlackNovember 12, 1957"
Norman Powell,2016,2022,G,6’3,215,"May 25, 1993",UCLA,"Norman PowellMay 25, 1993"
Normie Glick,1950,1950,F,6’7,190,"November 10, 1927",Loyola Marymount,"Normie GlickNovember 10, 1927"
Norris Cole,2012,2017,G,6’2,175,"October 13, 1988",Cleveland State University,"Norris ColeOctober 13, 1988"
Norris Coleman,1988,1988,F,6’8,210,"September 27, 1961",Kansas State,"Norris ColemanSeptember 27, 1961"
Norton Barnhill,1977,1977,G,6’4,205,July 15 1953,Washington State,Norton BarnhillJuly 15 1953
Norvel Pelle,2020,2022,F-C,6’10,231,"February 3, 1993",,"Norvel PelleFebruary 3, 1993"
O.J. Mayo,2009,2016,G,6’5,210,"November 5, 1987",USC,"O.J. MayoNovember 5, 1987"
Obi Toppin,2021,2022,F,6’9,220,"March 4, 1998",Dayton,"Obi ToppinMarch 4, 1998"
Obinna Ekezie,2000,2005,F-C,6’9,270,"August 22, 1975",Maryland,"Obinna EkezieAugust 22, 1975"
Odie Spears,1949,1957,G,6’5,205,June 17 1924,Western Kentucky,Odie SpearsJune 17 1924
Odis Allison,1972,1972,F,6’6,195,"October 2, 1949",UNLV,"Odis AllisonOctober 2, 1949"
OG Anunoby,2018,2022,F,6’7,232,July 17 1997,Indiana,OG AnunobyJuly 17 1997
Ognjen Kuzmi?,2014,2015,C,7’1,251,"May 16, 1990",,"Ognjen Kuzmi?May 16, 1990"
Okaro White,2017,2019,F,6’8,205,"August 13, 1992",Florida State,"Okaro WhiteAugust 13, 1992"
Olden Polynice,1988,2004,C-F,6’11,220,"November 21, 1964",Virginia,"Olden PolyniceNovember 21, 1964"
Oleksiy Pecherov,2008,2010,C,7-0,232,"December 8, 1985",,"Oleksiy PecherovDecember 8, 1985"
Oliver Lafayette,2010,2010,G,6’2,190,"May 6, 1984",Houston,"Oliver LafayetteMay 6, 1984"
Oliver Miller,1993,2004,C,6’9,280,"April 6, 1970",Arkansas,"Oliver MillerApril 6, 1970"
Oliver Robinson,1983,1983,G,6’4,180,"March 13, 1960",UAB,"Oliver RobinsonMarch 13, 1960"
Oliver Taylor,1971,1974,G-F,6’2,194,"March 7, 1947",Houston,"Oliver TaylorMarch 7, 1947"
Olivier Sarr,2022,2022,C,7-0,237,"February 20, 1999",Wake Forest Kentucky,"Olivier SarrFebruary 20, 1999"
Ollie Darden,1968,1970,F-C,6’7,235,July 28 1944,Michigan,Ollie DardenJuly 28 1944
Ollie Johnson,1973,1982,F,6’6,200,"May 11, 1949",Temple,"Ollie JohnsonMay 11, 1949"
Ollie Mack,1980,1982,G,6’3,185,June 6 1957,East Carolina University,Ollie MackJune 6 1957
Olumide Oyedeji,2001,2003,C,6’10,240,"May 11, 1981",,"Olumide OyedejiMay 11, 1981"
Omar Cook,2004,2005,G,6’1,190,"January 28, 1982",St. John's,"Omar CookJanuary 28, 1982"
Omari Johnson,2018,2018,F,6’9,220,"November 26, 1989",Oregon State,"Omari JohnsonNovember 26, 1989"
Omari Spellman,2019,2020,F,6’8,245,July 21 1997,Villanova,Omari SpellmanJuly 21 1997
Ömer A??k,2011,2018,C,7-0,255,July 4 1986,,Ömer A??kJuly 4 1986
Omer Yurtseven,2022,2022,C,7-0,264,June 19 1998,NC State Georgetown,Omer YurtsevenJune 19 1998
Omri Casspi,2010,2019,F,6’9,225,June 22 1988,,Omri CasspiJune 22 1988
Onyeka Okongwu,2021,2022,F,6’8,235,"December 11, 2000",USC,"Onyeka OkongwuDecember 11, 2000"
Orbie Bowling,1968,1968,C,6’10,215,"March 21, 1939",Tennessee,"Orbie BowlingMarch 21, 1939"
Orien Greene,2006,2011,G,6’4,208,"February 4, 1982",Florida Louisiana,"Orien GreeneFebruary 4, 1982"
Orlando Graham,1989,1989,F,6’8,220,"May 5, 1965",West Texas A&M University Auburn University at Montgomery,"Orlando GrahamMay 5, 1965"
Orlando Johnson,2013,2016,G,6’5,220,"March 11, 1989",Loyola Marymount UC Santa Barbara,"Orlando JohnsonMarch 11, 1989"
Orlando Woolridge,1982,1994,F,6’9,215,"December 16, 1959",Notre Dame,"Orlando WoolridgeDecember 16, 1959"
Oscar Robertson,1961,1974,G-F,6’5,205,"November 24, 1938",Cincinnati,"Oscar Robertson*November 24, 1938"
Óscar Torres,2002,2003,F,6’6,210,"December 18, 1976",,"Óscar TorresDecember 18, 1976"
Oshae Brissett,2020,2022,F,6’7,210,June 20 1998,Syracuse,Oshae BrissettJune 20 1998
Ossie Schectman,1947,1947,G,6’0,175,"March 30, 1919",Long Island University,"Ossie SchectmanMarch 30, 1919"
Othell Wilson,1985,1987,G,6’0,190,"October 26, 1961",Virginia,"Othell WilsonOctober 26, 1961"
Othella Harrington,1997,2008,F-C,6’9,235,"January 31, 1974",Georgetown,"Othella HarringtonJanuary 31, 1974"
Othello Hunter,2009,2010,F,6’8,225,"May 28, 1986",Ohio State,"Othello HunterMay 28, 1986"
Othyus Jeffers,2010,2014,G,6’5,200,"August 5, 1985",University of Illinois at Chicago Robert Morris University (IL),"Othyus JeffersAugust 5, 1985"
Otis Birdsong,1978,1989,G,6’3,190,"December 9, 1955",Houston,"Otis BirdsongDecember 9, 1955"
Otis Howard,1979,1979,F,6’7,220,"November 5, 1956",Austin Peay State University,"Otis HowardNovember 5, 1956"
Otis Smith,1987,1992,G-F,6’5,210,"January 30, 1964",Jacksonville University,"Otis SmithJanuary 30, 1964"
Otis Thorpe,1985,2001,F-C,6’9,225,"August 5, 1962",Providence,"Otis ThorpeAugust 5, 1962"
Otto Moore,1969,1977,C-F,6’11,205,"August 27, 1946",University of Texas Rio Grande Valley,"Otto MooreAugust 27, 1946"
Otto Porter Jr.,2014,2022,F,6’8,198,June 3 1993,Georgetown,Otto Porter Jr.June 3 1993
Otto Schnellbacher,1949,1949,F-G,6’4,185,"April 15, 1923",Kansas,"Otto SchnellbacherApril 15, 1923"
Owen Wells,1975,1975,F,6’7,200,"December 9, 1950",Detroit Mercy,"Owen WellsDecember 9, 1950"
Ozell Jones,1985,1986,C-F,6’11,235,"November 20, 1960",Wichita State Cal State Fullerton,"Ozell JonesNovember 20, 1960"
P.J. Brown,1994,2008,F-C,6’11,225,"October 14, 1969",Louisiana Tech,"P.J. BrownOctober 14, 1969"
P.J. Hairston,2015,2016,G-F,6’6,230,"December 24, 1992",UNC,"P.J. HairstonDecember 24, 1992"
P.J. Tucker,2007,2022,F,6’5,245,"May 5, 1985",Texas,"P.J. TuckerMay 5, 1985"
P.J. Washington,2020,2022,F,6’7,230,"August 23, 1998",Kentucky,"P.J. WashingtonAugust 23, 1998"
Pablo Prigioni,2013,2016,G,6’3,185,"May 17, 1977",,"Pablo PrigioniMay 17, 1977"
Pace Mannion,1984,1989,G,6’7,190,September 22 1960,Utah,Pace MannionSeptember 22 1960
Pape Sow,2005,2007,F,6’10,250,"November 22, 1981",Cal State Fullerton,"Pape SowNovember 22, 1981"
Pape Sy,2011,2011,F,6’7,225,"April 5, 1988",,"Pape SyApril 5, 1988"
Paris Bass,2022,2022,F,6’8,200,"August 29, 1995",Detroit Mercy,"Paris BassAugust 29, 1995"
Pascal Siakam,2017,2022,F,6’9,230,"April 2, 1994",New Mexico State,"Pascal SiakamApril 2, 1994"
Pat Burke,2003,2007,C-F,6’11,250,"December 14, 1973",Auburn,"Pat BurkeDecember 14, 1973"
Pat Connaughton,2016,2022,G,6’5,209,"January 6, 1993",Notre Dame,"Pat ConnaughtonJanuary 6, 1993"
Pat Cummings,1980,1991,F-C,6’9,230,July 11 1956,Cincinnati,Pat CummingsJuly 11 1956
Pat Dunn,1958,1958,G,6’2,170,"March 17, 1931",Utah State University,"Pat DunnMarch 17, 1931"
Pat Durham,1993,1995,F,6’7,210,"March 10, 1967",Colorado State,"Pat DurhamMarch 10, 1967"
Pat Garrity,1999,2008,F,6’9,238,"August 23, 1976",Notre Dame,"Pat GarrityAugust 23, 1976"
Pat Riley,1968,1976,G-F,6’4,205,"March 20, 1945",Kentucky,"Pat Riley*March 20, 1945"
Patricio Garino,2017,2017,G-F,6’6,210,"May 17, 1993",George Washington,"Patricio GarinoMay 17, 1993"
Patrick Beverley,2013,2022,G,6’1,180,July 12 1988,Arkansas,Patrick BeverleyJuly 12 1988
Patrick Christopher,2015,2015,G-F,6’5,209,June 3 1988,California,Patrick ChristopherJune 3 1988
Patrick Eddie,1992,1992,C,6’11,240,"December 27, 1967",Arkansas State University Ole Miss,"Patrick EddieDecember 27, 1967"
Patrick Ewing,2011,2011,F,6’8,235,"May 20, 1984",Indiana Georgetown,"Patrick EwingMay 20, 1984"
Patrick Ewing,1986,2002,C-F,7-0,240,"August 5, 1962",Georgetown,"Patrick Ewing*August 5, 1962"
Patrick McCaw,2017,2021,G,6’7,181,"October 25, 1995",UNLV,"Patrick McCawOctober 25, 1995"
Patrick McFarland,1974,1976,F-G,6’5,185,"December 7, 1951",Saint Joseph's,"Patrick McFarlandDecember 7, 1951"
Patrick O'Bryant,2007,2010,C,7-0,260,June 20 1986,Bradley,Patrick O'BryantJune 20 1986
Patrick Patterson,2011,2021,F,6’8,235,"March 14, 1989",Kentucky,"Patrick PattersonMarch 14, 1989"
Patrick Williams,2021,2022,F,6’7,215,"August 26, 2001",Florida State,"Patrick WilliamsAugust 26, 2001"
Patty Mills,2010,2022,G,6’1,180,"August 11, 1988",Saint Mary's,"Patty MillsAugust 11, 1988"
Pau Gasol,2002,2019,C-F,7-0,250,July 6 1980,,Pau GasolJuly 6 1980
Paul Arizin,1951,1962,F-G,6’4,190,"April 9, 1928",Villanova,"Paul Arizin*April 9, 1928"
Paul Cloyd,1950,1950,G-F,6’2,180,June 13 1920,Wisconsin,Paul CloydJune 13 1920
Paul Davis,2007,2010,C,6’11,270,July 21 1984,Michigan State,Paul DavisJuly 21 1984
Paul Dawkins,1980,1980,F,6’5,190,June 10 1957,Northern Illinois,Paul DawkinsJune 10 1957
Paul George,2011,2022,F,6’8,220,"May 2, 1990",Fresno State,"Paul GeorgeMay 2, 1990"
Paul Gordon,1950,1950,F,6’3,185,"April 8, 1927",Notre Dame,"Paul GordonApril 8, 1927"
Paul Graham,1992,1994,F-G,6’6,200,"November 28, 1967",Ohio University,"Paul GrahamNovember 28, 1967"
Paul Grant,1999,2004,C,7-0,245,"January 6, 1974",Boston College Wisconsin,"Paul GrantJanuary 6, 1974"
Paul Griffin,1977,1983,F-C,6’9,205,"January 20, 1954",Western Michigan,"Paul GriffinJanuary 20, 1954"
Paul Hoffman,1948,1955,G-F,6’2,195,"April 12, 1925",Purdue,"Paul HoffmanApril 12, 1925"
Paul Hogue,1963,1964,C,6’9,240,"April 28, 1940",Cincinnati,"Paul HogueApril 28, 1940"
Paul Huston,1948,1948,F,6’3,175,June 2 1925,Ohio State,Paul HustonJune 2 1925
Paul Long,1968,1971,G,6’2,180,"February 8, 1944",Wake Forest,"Paul LongFebruary 8, 1944"
Paul McCracken,1973,1977,G,6’4,180,September 11 1950,Cal State Northridge,Paul McCrackenSeptember 11 1950
Paul McPherson,2001,2001,G,6’4,210,July 3 1978,DePaul,Paul McPhersonJuly 3 1978
Paul Millsap,2007,2022,F,6’7,257,"February 10, 1985",Louisiana Tech,"Paul MillsapFebruary 10, 1985"
Paul Mokeski,1980,1991,C-F,7-0,250,"January 3, 1957",Kansas,"Paul MokeskiJanuary 3, 1957"
Paul Napolitano,1949,1949,F-G,6’2,185,"February 3, 1923",San Francisco,"Paul NapolitanoFebruary 3, 1923"
Paul Neumann,1962,1967,G,6’1,175,"January 30, 1938",Stanford,"Paul NeumannJanuary 30, 1938"
